state,senate_overall_winner,republican_primary,democrat_primary
Alabama,https://kalshi.com/markets/senateal/alabama-senate-winner/senateal-26,https://kalshi.com/markets/kxsenatealr/alabama-republican-senate-nominee/kxsenatealr-26,null
Alaska,https://kalshi.com/markets/senateak/alaska-senate-winner/senateak-26,null,null
Arkansas,https://kalshi.com/markets/senatear/arkansas-senate-winner/senatear-26,null,null
Colorado,https://kalshi.com/markets/senateco/colorado-senate-winner/senateco-26,https://kalshi.com/markets/kxsenatecor/colorado-republican-senate-nominee/kxsenatecor-26,https://kalshi.com/markets/kxsenatecod/colorado-democratic-senate-nominee/kxsenatecod-26
Delaware,https://kalshi.com/markets/senatede/delaware-senate-winner/senatede-26,https://kalshi.com/markets/kxsenateder/delaware-republican-senate-nominee/kxsenateder-26,null
Florida,https://kalshi.com/markets/senatefls/florida-senate-winner/senatefls-26,https://kalshi.com/markets/kxsenateflr/florida-republican-senate-nominee/kxsenateflr-26,https://kalshi.com/markets/kxsenatefld/florida-democratic-senate-nominee/kxsenatefld-26
Georgia,https://kalshi.com/markets/senatega/georgia-senate-winner/senatega-26,https://kalshi.com/markets/kxsenategar/georgia-republican-senate-nominee/kxsenategar-26,null
Idaho,https://kalshi.com/markets/senateid/idaho-senate-winner/senateid-26,https://kalshi.com/markets/kxsenateidr/idaho-republican-senate-nominee/kxsenateidr-26,null
Illinois,https://kalshi.com/markets/senateil/illinois-senate-winner/senateil-26,null,null
Iowa,https://kalshi.com/markets/senateia/iowa-senate-winner/senateia-26,https://kalshi.com/markets/kxsenateiar/iowa-republican-senate-nominee/kxsenateiar-26,https://kalshi.com/markets/kxkxsenateiad/iowa-democratic-senate-nominee/kxkxsenateiad-26
Kansas,https://kalshi.com/markets/senateks/kansas-senate-winner/senateks-26,null,https://kalshi.com/markets/kxsenateksd/kansas-democratic-senate-nominee/kxsenateksd-26
Kentucky,https://kalshi.com/markets/senatela/kentucky-senate-winner/senatela-26,https://kalshi.com/markets/kxsenatekyr/kentucky-republican-senate-nominee/kxsenatekyr-26,https://kalshi.com/markets/kxsenatekyd/kentucky-democratic-senate-nominee/kxsenatekyd-26
Louisiana,https://kalshi.com/markets/kxsenatela/louisiana-senate-winner/kxsenatela-26nov,https://kalshi.com/markets/kxsenatelar/louisiana-republican-senate-nominee/kxsenatelar-26,https://kalshi.com/markets/kxsenatelad/louisiana-democratic-senate-nominee/kxsenatelad-26
Maine,https://kalshi.com/markets/senateme/maine-senate-winner/senateme-26,null,https://kalshi.com/markets/kxsenatemed/maine-democratic-senate-nominee/kxsenatemed-26
Massachusetts,https://kalshi.com/markets/senatema/massachusetts-senate-winner/senatema-26,null,https://kalshi.com/markets/kxsenatemad/massachusetts-democratic-senate-nominee/kxsenatemad-26
Michigan,https://kalshi.com/markets/senatemi/michigan-senate-winner/senatemi-26,https://kalshi.com/markets/kxsenatemir/michigan-republican-senate-nominee/kxsenatemir-26,https://kalshi.com/markets/kxsenatemid/michigan-democratic-senate-nominee/kxsenatemid-26
Minnesota,https://kalshi.com/markets/senatemn/minnesota-senate-winner/senatemn-26,https://kalshi.com/markets/kxsenatemnr/minnesota-republican-senate-nominee/kxsenatemnr-26,https://kalshi.com/markets/kxsenatemnd/minnesota-democratic-senate-nominee/kxsenatemnd-26
Mississippi,https://kalshi.com/markets/senatems/mississippi-senate-winner/senatems-26,null,null
Montana,https://kalshi.com/markets/senatemt/montana-senate-winner/senatemt-26,null,https://kalshi.com/markets/kxsenatemtd/montana-democratic-senate-nominee/kxsenatemtd-26
Nebraska,https://kalshi.com/markets/senatene/nebraska-senate-winner/senatene-26,https://kalshi.com/markets/kxsenatener/nebraska-republican-senate-nominee/kxsenatener-26,null
New Hampshire,https://kalshi.com/markets/senatenh/new-hampshire-senate-winner/senatenh-26,https://kalshi.com/markets/kxsenatenhr/new-hampshire-republican-senate-nominee/kxsenatenhr-26,https://kalshi.com/markets/kxsenatenhd/new-hampshire-democratic-senate-nominee/kxsenatenhd-26
New Jersey,https://kalshi.com/markets/senatenj/new-jersey-senate-winner/senatenj-26,https://kalshi.com/markets/kxsenatenjr/new-jersey-republican-senate-nominee/kxsenatenjr-26,null
New Mexico,https://kalshi.com/markets/senatenm/new-mexico-senate-winner/senatenm-26,null,null
North Carolina,https://kalshi.com/markets/senatenc/north-carolina-senate-winner/senatenc-26,null,null
Ohio,https://kalshi.com/markets/senateohs/ohio-senate-winner/senateohs-26,null,https://kalshi.com/markets/kxsenateohsd/ohio-democratic-senate-nominee/kxsenateohsd-26
Oklahoma,https://kalshi.com/markets/senateok/oklahoma-senate-winner/senateok-26,https://kalshi.com/markets/kxsenateokr/oklahoma-republican-senate-nominee/kxsenateokr-26,https://kalshi.com/markets/kxsenateokd/oklahoma-democratic-senate-nominee/kxsenateokd-26
Oregon,https://kalshi.com/markets/senateor/oregon-senate-winner/senateor-26,null,https://kalshi.com/markets/kxsenateord/ord/kxsenateord-26
Rhode Island,https://kalshi.com/markets/senateri/rhode-island-senate-winner/senateri-26,https://kalshi.com/markets/kxsenaterir/rhode-island-republican-senate-nominee/kxsenaterir-26,https://kalshi.com/markets/kxsenaterid/rhode-island-democratic-senate-nominee/kxsenaterid-26
South Carolina,https://kalshi.com/markets/senatesc/south-carolina-senate-winner/senatesc-26,https://kalshi.com/markets/kxsenatescr/south-carolina-republican-senate-nominee/kxsenatescr-26,https://kalshi.com/markets/kxsenatescd/south-carolina-democratic-senate-nominee/kxsenatescd-26
South Dakota,https://kalshi.com/markets/senatesd/south-dakota-senate-winner/senatesd-26,https://kalshi.com/markets/kxsenatesdr/south-dakota-republican-senate-nominee/kxsenatesdr-26,null
Tennessee,https://kalshi.com/markets/senatetn/tennessee-senate-winner/senatetn-26,null,null
Texas,https://kalshi.com/markets/senatetx/texas-senate-winner/senatetx-26,https://kalshi.com/markets/kxsenatetxr/texas-republican-senate-nominee/kxsenatetxr-26,null
Virginia,https://kalshi.com/markets/senateva/virginia-senate-winner/senateva-26,https://kalshi.com/markets/kxsenatevar/virginia-republican-senate-nominee/kxsenatevar-26,https://kalshi.com/markets/kxsenatevad/virginia-democratic-senate-nominee/kxsenatevad-26
West Virginia,https://kalshi.com/markets/senatewv/west-virginia-senate-winner/senatewv-26,https://kalshi.com/markets/kxsenatewvr/west-virginia-republican-senate-nominee/kxsenatewvr-26,https://kalshi.com/markets/kxsenatewvd/west-virginia-democratic-senate-nominee/kxsenatewvd-26
Wyoming,https://kalshi.com/markets/senatewy/wyoming-senate-winner/senatewy-26,null,null
