state, senate_overall_winner, republican_primary, democrat_primary
Alabama,https://polymarket.com/event/alabama-senate-election-winner-154, https://polymarket.com/event/alabama-republican-senate-primary-winner, https://polymarket.com/event/alabama-democratic-senate-primary-winner
Alaska,https://polymarket.com/event/alaska-senate-election-winner, null, null
Arkansas,https://polymarket.com/event/arkansas-senate-election-winner, null, null
Colorado,https://polymarket.com/event/colorado-senate-election-winner, https://polymarket.com/event/colorado-republican-senate-primary-winner, https://polymarket.com/event/colorado-governor-democratic-primary-winner
Delaware,https://polymarket.com/event/delaware-senate-election-winner, https://polymarket.com/event/delaware-republican-senate-primary-winner, https://polymarket.com/event/delaware-democratic-senate-primary-winner
Florida,https://polymarket.com/event/florida-senate-election-winner, https://polymarket.com/event/florida-republican-senate-primary-winner, https://polymarket.com/event/florida-democratic-senate-primary-winner
Georgia,https://polymarket.com/event/georgia-senate-election-winner, https://polymarket.com/event/georgia-republican-senate-primary-winner, null
Idaho,https://polymarket.com/event/idaho-senate-election-winner, https://polymarket.com/event/idaho-republican-senate-primary-winner, null
Illinois,https://polymarket.com/event/illinois-senate-election-winner, null, null
Iowa,https://polymarket.com/event/iowa-senate-election-winner, https://polymarket.com/event/iowa-republican-senate-primary-winner, https://polymarket.com/event/iowa-democratic-senate-primary-winner
Kansas,https://polymarket.com/event/kansas-senate-election-winner, null, https://polymarket.com/event/kansas-democratic-senate-primary-winner
Kentucky,https://polymarket.com/event/kentucky-senate-election-winner, https://polymarket.com/event/kentucky-republican-senate-primary-winner, https://polymarket.com/event/kentucky-democratic-senate-primary-winner
Louisiana,https://polymarket.com/event/louisiana-senate-election-winner, https://polymarket.com/event/louisiana-republican-senate-primary-winner-889, https://polymarket.com/event/louisiana-democratic-senate-primary-winner
Maine,https://polymarket.com/event/maine-senate-election-winner, null, https://polymarket.com/event/maine-democratic-senate-primary-winner
Massachusetts,https://polymarket.com/event/massachusetts-senate-election-winner, null, https://polymarket.com/event/massachusetts-democratic-senate-primary-winner
Michigan,https://polymarket.com/event/michigan-senate-election-winner, https://polymarket.com/event/michigan-republican-senate-primary-winner-954, https://polymarket.com/event/michigan-democratic-senate-primary-winner
Minnesota,https://polymarket.com/event/minnesota-senate-election-winner, https://polymarket.com/event/minnesota-republican-senate-primary-winner,https://polymarket.com/event/minnesota-democratic-senate-primary-winner
Mississippi,https://polymarket.com/event/mississippi-senate-election-winner, null, null
Montana,https://polymarket.com/event/montana-senate-election-winner, null, https://polymarket.com/event/montana-democratic-senate-primary-winner
Nebraska,https://polymarket.com/event/nebraska-senate-election-winner, https://polymarket.com/event/nebraska-republican-senate-primary-winner, null
New Hampshire,https://polymarket.com/event/new-hampshire-senate-election-winner, https://polymarket.com/event/new-hampshire-republican-senate-primary-winner-296, https://polymarket.com/event/new-hampshire-democratic-senate-primary-winner
New Jersey,https://polymarket.com/event/new-jersey-senate-election-winner, https://polymarket.com/event/new-jersey-republican-senate-primary-winner, https://polymarket.com/event/new-jersey-democratic-senate-primary-winner
New Mexico,https://polymarket.com/event/new-mexico-senate-election-winner, null, null
North Carolina,https://polymarket.com/event/north-carolina-senate-election-winner, null, null
Ohio,https://polymarket.com/event/ohio-senate-election-winner, null, https://polymarket.com/event/ohio-democratic-senate-primary-winner
Oklahoma,https://polymarket.com/event/oklahoma-senate-election-winner, https://polymarket.com/event/oklahoma-republican-senate-primary-winner, https://polymarket.com/event/oklahoma-democratic-senate-primary-winner
Oregon,https://polymarket.com/event/oregon-senate-election-winner, https://polymarket.com/event/oregon-republican-senate-primary-winner, https://polymarket.com/event/oregon-democratic-senate-primary-winner
Rhode Island,https://polymarket.com/event/rhode-island-senate-election-winner, https://polymarket.com/event/rhode-island-republican-senate-primary-winner, https://polymarket.com/event/rhode-island-democratic-senate-primary-winner
South Carolina,https://polymarket.com/event/south-carolina-senate-election-winner, https://polymarket.com/event/south-carolina-republican-senate-primary-winner, https://polymarket.com/event/south-carolina-democratic-senate-primary-winner
South Dakota,https://polymarket.com/event/south-dakota-senate-election-winner, https://polymarket.com/event/south-dakota-republican-senate-primary-winner, null
Tennessee,https://polymarket.com/event/tennessee-senate-election-winner, null, https://polymarket.com/event/tennessee-democratic-senate-primary-winner
Texas,https://polymarket.com/event/texas-senate-election-winner, https://polymarket.com/event/texas-republican-senate-primary-winner, null
Virginia,https://polymarket.com/event/virginia-senate-election-winner, https://polymarket.com/event/virginia-republican-senate-primary-winner, https://polymarket.com/event/virginia-democratic-senate-primary-winner
West Virginia,https://polymarket.com/event/west-virginia-senate-election-winner, https://polymarket.com/event/west-virginia-republican-senate-primary-winner, https://polymarket.com/event/west-virginia-democratic-senate-primary-winner
Wyoming,https://polymarket.com/event/wyoming-senate-election-winner, null, null